EduCat,USRCat,AgeCat,IncCat,MarCat,RaceCat,GenderCat,ideo5_2016,Success,n
3,1,3,6,5,2,2,4,1,1
3,1,3,6,5,4,2,6,0,1
3,1,4,1,1,3,1,1,0,1
3,1,4,1,1,3,2,3,0,2
3,1,4,1,2,1,2,3,0,1
3,1,4,1,2,3,1,2,0,1
3,1,4,1,3,1,2,4,0,1
3,1,4,1,3,2,2,3,0,1
3,1,4,1,4,4,2,3,0,1
3,1,4,1,5,1,2,3,0,1
3,1,4,1,5,2,1,3,1,1
3,1,4,2,1,1,2,2,0,1
3,1,4,2,1,2,1,3,1,1
3,1,4,2,1,2,1,4,2,2
3,1,4,2,1,2,1,5,1,1
3,1,4,2,1,2,2,3,5,7
3,1,4,2,1,2,2,6,1,1
3,1,4,2,2,1,2,3,1,1
3,1,4,2,2,2,1,3,0,1
3,1,4,2,2,2,2,2,0,2
3,1,4,2,3,1,2,2,0,1
3,1,4,2,3,2,1,3,1,2
3,1,4,2,3,2,2,1,0,1
3,1,4,2,3,2,2,2,0,1
3,1,4,2,3,4,1,4,1,1
3,1,4,2,3,4,2,2,0,1
3,1,4,2,5,2,1,3,0,1
3,1,4,2,5,2,1,5,0,1
3,1,4,2,5,2,2,2,0,1
3,1,4,2,5,2,2,3,1,3
3,1,4,2,5,2,2,4,0,1
3,1,4,2,5,3,2,3,0,1
3,1,4,2,5,4,1,2,0,1
3,1,4,2,5,4,1,3,0,1
3,1,4,2,5,4,2,3,0,1
3,1,4,2,5,4,2,4,0,1
3,1,4,3,1,2,1,2,1,1
3,1,4,3,1,2,1,3,0,1
3,1,4,3,1,2,1,4,4,4
3,1,4,3,1,2,1,5,1,1
3,1,4,3,1,2,2,2,0,1
3,1,4,3,1,2,2,3,1,1
3,1,4,3,1,4,1,3,2,2
3,1,4,3,1,4,1,4,0,1
3,1,4,3,2,2,2,5,0,1
3,1,4,3,3,2,1,5,1,1
3,1,4,3,3,2,2,2,1,1
3,1,4,3,3,3,2,3,0,1
3,1,4,3,3,4,2,1,0,1
3,1,4,3,4,4,2,3,0,1
3,1,4,3,5,2,1,3,1,1
3,1,4,4,1,2,1,3,0,1
3,1,4,4,1,2,1,4,1,1
3,1,4,4,1,2,2,2,0,1
3,1,4,4,1,2,2,3,0,1
3,1,4,4,1,2,2,4,1,1
3,1,4,4,1,3,2,3,0,1
3,1,4,4,1,3,2,4,1,1
3,1,4,4,1,4,1,4,1,1
3,1,4,4,1,4,2,5,1,1
3,1,4,4,5,2,2,5,1,1
3,1,4,4,5,3,2,2,0,1
3,1,4,4,5,4,1,2,0,1
3,1,4,5,1,1,1,5,1,1
3,1,4,5,1,2,1,3,1,1
3,1,4,5,1,2,1,4,1,1
3,1,4,5,1,2,1,5,3,3
3,1,4,5,1,2,2,3,0,2
3,1,4,5,1,2,2,5,1,1
3,1,4,5,1,3,1,3,0,1
3,1,4,5,1,4,1,2,0,1
3,1,4,5,3,2,1,5,1,1
3,1,4,5,3,3,1,3,0,1
3,1,4,5,5,2,1,3,1,1
3,1,4,6,1,2,1,2,0,1
3,1,4,6,1,2,1,5,1,1
3,1,4,6,1,2,2,2,0,1
3,1,4,6,1,3,1,3,0,1
3,1,4,6,1,4,1,2,0,1
3,1,4,6,1,4,1,4,1,1
3,1,4,6,1,4,2,4,0,1
3,1,4,6,5,2,1,2,0,1
3,1,5,1,1,3,1,2,0,1
3,1,5,1,1,3,2,3,0,1
3,1,5,1,1,4,1,2,0,1
3,1,5,1,3,2,1,3,0,1
3,1,5,1,3,2,2,4,1,1
3,1,5,1,3,3,2,2,0,1
3,1,5,1,4,2,2,5,1,1
3,1,5,1,5,2,1,1,0,1
3,1,5,1,5,3,2,3,0,1
3,1,5,2,1,2,1,1,0,2
3,1,5,2,1,2,1,3,2,3
3,1,5,2,1,2,1,4,1,1
3,1,5,2,1,2,2,2,1,1
3,1,5,2,1,2,2,3,0,1
3,1,5,2,1,2,2,4,2,3
3,1,5,2,1,3,2,3,1,2
3,1,5,2,1,4,1,4,1,1
3,1,5,2,1,4,2,3,0,1
3,1,5,2,2,2,1,3,0,1
3,1,5,2,2,2,2,3,0,1
3,1,5,2,2,2,2,5,0,1
3,1,5,2,2,3,2,3,0,2
3,1,5,2,2,4,2,4,0,1
3,1,5,2,3,2,1,2,0,1
3,1,5,2,3,2,1,3,0,1
3,1,5,2,3,2,1,4,2,2
3,1,5,2,3,2,2,3,0,1
3,1,5,2,3,2,2,4,1,1
3,1,5,2,3,3,1,5,1,1
3,1,5,2,3,3,2,2,0,1
3,1,5,2,5,2,1,2,0,1
3,1,5,2,5,2,2,2,0,1
3,1,5,2,5,2,2,5,1,1
3,1,5,2,5,3,2,2,0,1
3,1,5,3,1,1,1,3,0,1
3,1,5,3,1,2,1,2,1,2
3,1,5,3,1,2,1,3,3,4
3,1,5,3,1,2,1,4,1,1
3,1,5,3,1,2,1,5,1,2
3,1,5,3,1,2,2,3,0,1
3,1,5,3,1,2,2,4,2,3
3,1,5,3,1,3,1,3,0,1
3,1,5,3,1,3,2,4,0,1
3,1,5,3,1,4,1,2,0,1
3,1,5,3,1,4,1,3,1,1
3,1,5,3,1,4,2,4,0,1
3,1,5,3,2,2,2,3,0,1
3,1,5,3,2,3,2,1,0,1
3,1,5,3,2,3,2,3,0,1
3,1,5,3,3,2,2,2,1,1
3,1,5,3,3,3,1,2,0,1
3,1,5,3,5,2,2,2,0,1
3,1,5,4,1,2,1,6,1,1
3,1,5,4,1,2,2,2,0,1
3,1,5,4,1,2,2,6,1,1
3,1,5,4,1,3,2,3,0,1
3,1,5,4,3,2,2,2,0,1
3,1,5,4,4,4,1,3,0,1
3,1,5,5,1,2,1,5,1,1
3,1,5,5,1,2,2,3,0,2
3,1,5,5,5,2,1,2,0,2
3,1,5,6,1,1,1,3,0,1
3,1,5,6,1,1,1,5,1,1
3,1,5,6,1,2,1,2,0,1
3,1,5,6,1,2,1,3,1,2
3,1,5,6,1,2,1,5,1,1
3,1,5,6,1,2,2,6,0,1
3,1,5,6,1,4,1,4,1,1
3,1,5,6,2,2,1,4,1,1
3,1,5,6,2,2,2,2,0,1
3,1,5,6,2,3,2,3,0,1
3,1,5,6,5,3,2,6,0,1
3,2,1,1,1,2,2,6,0,1
3,2,1,1,3,2,2,2,0,1
3,2,1,1,5,2,2,1,0,1
3,2,1,1,5,2,2,3,0,1
3,2,1,1,5,4,2,1,0,1
3,2,1,1,5,5,2,4,0,1
3,2,1,2,1,2,1,2,0,1
3,2,1,2,1,2,2,2,1,1
3,2,1,2,1,3,2,3,0,1
3,2,1,2,5,2,1,2,1,3
3,2,1,2,5,2,2,5,0,1
3,2,1,2,5,4,2,6,0,1
3,2,1,3,1,2,1,5,1,1
3,2,1,3,1,2,2,3,0,1
3,2,1,3,1,2,2,4,1,1
3,2,1,3,4,2,1,3,0,1
3,2,1,3,5,1,2,1,0,1
3,2,1,3,5,3,2,2,1,1
3,2,1,5,5,2,1,4,1,1
3,2,1,6,5,1,1,3,0,1
3,2,1,6,5,1,1,4,1,1
3,2,1,6,5,2,1,3,1,1
3,2,1,6,5,2,2,2,0,2
3,2,1,6,5,2,2,5,0,1
3,2,1,6,5,2,2,6,0,1
3,2,1,6,5,4,2,3,0,1
3,2,1,6,5,5,2,1,0,1
3,2,2,1,1,1,2,1,0,1
3,2,2,1,1,1,2,4,1,1
3,2,2,1,1,2,2,3,1,1
3,2,2,1,1,5,2,5,0,1
3,2,2,1,3,2,1,5,1,1
3,2,2,1,3,2,2,1,1,2
3,2,2,1,3,2,2,3,0,1
3,2,2,1,3,2,2,4,0,1
3,2,2,1,4,2,2,4,0,1
3,2,2,1,5,1,1,2,0,1
3,2,2,1,5,2,1,3,1,3
3,2,2,1,5,2,1,4,1,1
3,2,2,1,5,2,2,1,0,1
3,2,2,1,5,2,2,2,1,1
3,2,2,1,5,2,2,3,1,1
3,2,2,1,5,3,1,1,0,1
3,2,2,1,5,3,2,3,0,1
3,2,2,1,5,4,1,5,0,1
3,2,2,2,1,2,1,2,1,1
3,2,2,2,1,2,1,3,1,2
3,2,2,2,1,2,1,4,1,1
3,2,2,2,1,2,1,5,2,2
3,2,2,2,1,2,2,1,0,2
3,2,2,2,1,2,2,2,0,4
3,2,2,2,1,2,2,3,3,4
3,2,2,2,1,2,2,4,2,2
3,2,2,2,1,2,2,5,1,2
3,2,2,2,1,2,2,6,0,1
3,2,2,2,1,3,2,3,0,1
3,2,2,2,1,3,2,5,1,1
3,2,2,2,1,4,2,3,1,1
3,2,2,2,1,4,2,5,1,1
3,2,2,2,1,5,2,2,0,1
3,2,2,2,2,2,1,4,1,1
3,2,2,2,3,1,2,1,0,1
3,2,2,2,3,2,1,3,0,1
3,2,2,2,3,2,2,2,0,1
3,2,2,2,3,2,2,3,0,1
3,2,2,2,3,2,2,5,0,2
3,2,2,2,3,4,2,2,0,1
3,2,2,2,3,4,2,4,1,1
3,2,2,2,3,5,1,4,0,1
3,2,2,2,4,2,1,5,1,1
3,2,2,2,5,1,1,2,0,1
3,2,2,2,5,2,1,1,0,3
3,2,2,2,5,2,1,3,2,3
3,2,2,2,5,2,1,4,2,2
3,2,2,2,5,2,1,5,1,2
3,2,2,2,5,2,2,1,0,1
3,2,2,2,5,2,2,2,0,3
3,2,2,2,5,2,2,3,2,3
3,2,2,2,5,2,2,4,1,3
3,2,2,2,5,2,2,5,1,1
3,2,2,2,5,3,1,3,0,2
3,2,2,2,5,3,2,1,0,1
3,2,2,2,5,3,2,3,0,2
3,2,2,2,5,3,2,4,0,2
3,2,2,2,5,3,2,6,0,2
3,2,2,2,5,4,2,1,1,1
3,2,2,3,1,1,2,2,0,3
3,2,2,3,1,2,1,2,1,1
3,2,2,3,1,2,1,3,1,2
3,2,2,3,1,2,1,4,2,2
3,2,2,3,1,2,1,5,2,2
3,2,2,3,1,2,2,1,0,1
3,2,2,3,1,2,2,2,2,3
3,2,2,3,1,2,2,3,4,7
3,2,2,3,1,2,2,4,1,1
3,2,2,3,1,2,2,5,2,2
3,2,2,3,1,3,1,3,0,1
3,2,2,3,1,3,2,3,0,1
3,2,2,3,1,4,1,1,0,1
3,2,2,3,1,4,1,4,1,1
3,2,2,3,1,5,1,6,0,1
3,2,2,3,1,5,2,1,1,1
3,2,2,3,1,5,2,2,0,1
3,2,2,3,1,5,2,3,0,1
3,2,2,3,3,1,1,2,0,1
3,2,2,3,3,2,2,4,0,2
3,2,2,3,4,2,2,1,0,1
3,2,2,3,5,2,1,1,1,1
3,2,2,3,5,2,1,2,3,5
3,2,2,3,5,2,1,3,2,3
3,2,2,3,5,2,1,4,1,1
3,2,2,3,5,2,2,2,0,1
3,2,2,3,5,2,2,3,0,3
3,2,2,3,5,2,2,4,2,2
3,2,2,3,5,3,2,1,0,1
3,2,2,3,5,3,2,2,0,1
3,2,2,3,5,5,1,2,0,1
3,2,2,4,1,2,1,1,0,3
3,2,2,4,1,2,1,2,0,1
3,2,2,4,1,2,1,3,2,2
3,2,2,4,1,2,2,2,0,1
3,2,2,4,1,2,2,3,1,3
3,2,2,4,1,2,2,4,2,4
3,2,2,4,1,2,2,6,0,1
3,2,2,4,1,3,1,5,0,1
3,2,2,4,1,4,2,4,0,1
3,2,2,4,4,2,2,4,0,1
3,2,2,4,5,1,1,2,1,1
3,2,2,4,5,2,2,5,1,1
3,2,2,5,1,1,1,1,0,2
3,2,2,5,1,2,1,1,1,1
3,2,2,5,1,2,1,2,0,2
3,2,2,5,1,2,1,3,0,1
3,2,2,5,1,2,1,4,2,2
3,2,2,5,1,2,1,5,1,1
3,2,2,5,1,2,2,1,0,2
3,2,2,5,1,2,2,2,0,4
3,2,2,5,1,2,2,3,2,2
3,2,2,5,1,2,2,4,1,1
3,2,2,5,1,2,2,5,2,3
3,2,2,5,1,3,1,3,0,1
3,2,2,5,3,1,1,4,1,1
3,2,2,5,3,2,1,1,0,1
3,2,2,5,5,2,1,1,0,1
3,2,2,5,5,2,1,3,1,1
3,2,2,5,5,2,1,5,1,1
3,2,2,5,5,3,2,4,0,1
3,2,2,6,1,2,1,4,1,1
3,2,2,6,1,2,1,5,1,1
3,2,2,6,1,2,2,4,0,1
3,2,2,6,1,4,1,5,1,1
3,2,2,6,2,2,2,4,1,1
3,2,2,6,3,2,2,1,0,2
3,2,2,6,5,2,1,2,0,1
3,2,2,6,5,2,1,3,1,1
3,2,2,6,5,2,1,4,1,1
3,2,2,6,5,2,1,5,1,1
3,2,2,6,5,2,2,1,0,1
3,2,2,6,5,2,2,5,1,1
3,2,2,6,5,3,2,6,0,1
3,2,3,1,1,2,1,2,0,1
3,2,3,1,1,2,1,4,1,1
3,2,3,1,1,2,2,1,0,1
3,2,3,1,1,2,2,2,0,1
3,2,3,1,1,2,2,3,1,1
3,2,3,1,1,2,2,4,0,1
3,2,3,1,1,2,2,5,0,1
3,2,3,1,2,1,1,1,0,1
3,2,3,1,3,2,1,3,1,1
3,2,3,1,3,2,1,4,2,2
3,2,3,1,3,2,2,4,3,3
3,2,3,1,3,2,2,5,1,1
3,2,3,1,3,2,2,6,0,1
3,2,3,1,3,3,2,4,0,1
3,2,3,1,3,5,1,6,0,1
3,2,3,1,4,2,2,1,0,1
3,2,3,1,4,2,2,3,1,2
3,2,3,1,5,1,1,3,1,1
3,2,3,1,5,2,1,1,1,2
3,2,3,1,5,2,1,3,2,4
3,2,3,1,5,2,1,5,1,1
3,2,3,1,5,2,1,6,0,1
3,2,3,1,5,2,2,1,0,4
3,2,3,1,5,2,2,3,1,3
3,2,3,1,5,2,2,4,1,1
3,2,3,1,5,3,1,1,0,1
3,2,3,1,5,3,2,2,0,1
3,2,3,1,5,3,2,3,0,1
3,2,3,1,5,4,2,3,0,1
3,2,3,1,5,5,2,3,0,1
3,2,3,2,1,1,2,1,0,1
3,2,3,2,1,2,1,1,0,2
3,2,3,2,1,2,1,3,4,5
3,2,3,2,1,2,1,4,1,3
3,2,3,2,1,2,1,5,3,3
3,2,3,2,1,2,2,1,1,4
3,2,3,2,1,2,2,2,0,1
3,2,3,2,1,2,2,3,2,8
3,2,3,2,1,2,2,4,2,3
3,2,3,2,1,2,2,5,1,2
3,2,3,2,1,2,2,6,0,1
3,2,3,2,1,3,1,3,0,1
3,2,3,2,1,3,2,4,0,1
3,2,3,2,1,3,2,5,0,2
3,2,3,2,1,4,1,4,1,1
3,2,3,2,1,4,2,3,1,1
3,2,3,2,1,4,2,4,0,1
3,2,3,2,1,4,2,6,0,1
3,2,3,2,1,5,1,1,0,2
3,2,3,2,1,5,2,6,0,1
3,2,3,2,2,2,2,1,0,1
3,2,3,2,2,2,2,3,1,1
3,2,3,2,2,2,2,4,0,1
3,2,3,2,2,2,2,5,0,1
3,2,3,2,2,2,2,6,0,1
3,2,3,2,3,1,1,3,1,1
3,2,3,2,3,1,2,4,0,1
3,2,3,2,3,2,1,2,1,1
3,2,3,2,3,2,1,3,2,2
3,2,3,2,3,2,1,4,1,3
3,2,3,2,3,2,1,5,1,1
3,2,3,2,3,2,2,1,0,1
3,2,3,2,3,2,2,2,0,1
3,2,3,2,3,2,2,3,3,6
3,2,3,2,3,2,2,4,2,2
3,2,3,2,3,2,2,5,1,1
3,2,3,2,3,2,2,6,1,1
3,2,3,2,3,3,2,2,0,2
3,2,3,2,3,3,2,6,0,1
3,2,3,2,3,4,1,3,1,1
3,2,3,2,4,2,1,5,1,1
3,2,3,2,4,2,2,3,0,2
3,2,3,2,4,3,1,4,0,1
3,2,3,2,4,4,2,3,0,1
3,2,3,2,5,1,2,2,0,1
3,2,3,2,5,2,1,1,0,1
3,2,3,2,5,2,1,2,0,3
3,2,3,2,5,2,1,3,2,3
3,2,3,2,5,2,1,4,1,2
3,2,3,2,5,2,1,5,1,1
3,2,3,2,5,2,2,1,0,1
3,2,3,2,5,2,2,2,0,2
3,2,3,2,5,2,2,3,2,5
3,2,3,2,5,2,2,4,1,1
3,2,3,2,5,2,2,5,0,1
3,2,3,2,5,3,1,1,0,1
3,2,3,2,5,3,2,2,0,1
3,2,3,2,5,3,2,3,0,2
3,2,3,2,5,3,2,4,0,1
3,2,3,3,1,1,1,1,0,1
3,2,3,3,1,1,1,3,1,1
3,2,3,3,1,1,1,4,1,1
3,2,3,3,1,1,1,5,1,1
3,2,3,3,1,2,1,1,0,1
3,2,3,3,1,2,1,2,0,1
3,2,3,3,1,2,1,3,4,8
3,2,3,3,1,2,1,4,12,12
3,2,3,3,1,2,1,5,6,6
3,2,3,3,1,2,2,1,1,4
3,2,3,3,1,2,2,2,0,2
3,2,3,3,1,2,2,3,5,9
3,2,3,3,1,2,2,4,6,7
3,2,3,3,1,2,2,5,1,2
3,2,3,3,1,3,1,1,0,1
3,2,3,3,1,3,1,3,0,3
3,2,3,3,1,3,1,4,0,1
3,2,3,3,1,3,2,1,0,1
3,2,3,3,1,3,2,4,0,1
3,2,3,3,1,4,1,1,0,1
3,2,3,3,1,4,1,2,0,1
3,2,3,3,1,4,1,3,1,1
3,2,3,3,1,4,2,3,0,1
3,2,3,3,1,4,2,4,1,2
3,2,3,3,2,2,1,3,1,1
3,2,3,3,2,2,2,3,0,1
3,2,3,3,2,4,1,5,1,1
3,2,3,3,2,4,2,5,1,1
3,2,3,3,3,2,1,1,0,1
3,2,3,3,3,2,1,3,1,1
3,2,3,3,3,2,1,4,2,3
3,2,3,3,3,2,1,5,1,1
3,2,3,3,3,2,2,2,1,2
3,2,3,3,3,2,2,3,1,2
3,2,3,3,3,2,2,4,1,1
3,2,3,3,4,1,1,3,1,1
3,2,3,3,5,2,1,2,0,3
3,2,3,3,5,2,1,3,5,6
3,2,3,3,5,2,1,4,3,5
3,2,3,3,5,2,1,5,1,1
3,2,3,3,5,2,1,6,1,1
3,2,3,3,5,2,2,2,1,1
3,2,3,3,5,2,2,3,0,2
3,2,3,3,5,2,2,4,0,1
3,2,3,3,5,2,2,5,1,1
3,2,3,3,5,3,1,4,1,1
3,2,3,3,5,3,1,5,1,1
3,2,3,3,5,3,2,2,0,1
3,2,3,3,5,3,2,3,0,1
3,2,3,4,1,1,2,4,2,2
3,2,3,4,1,2,1,2,0,4
3,2,3,4,1,2,1,3,1,3
3,2,3,4,1,2,1,4,4,5
3,2,3,4,1,2,1,5,3,3
3,2,3,4,1,2,2,2,1,1
3,2,3,4,1,2,2,3,0,3
3,2,3,4,1,2,2,4,2,2
3,2,3,4,1,3,2,4,1,1
3,2,3,4,1,4,1,3,0,1
3,2,3,4,1,4,2,3,0,2
3,2,3,4,1,5,2,4,1,1
3,2,3,4,3,1,2,3,1,1
3,2,3,4,3,2,1,2,1,2
3,2,3,4,3,3,2,1,0,1
3,2,3,4,5,2,2,3,1,1
3,2,3,4,5,2,2,6,1,1
3,2,3,4,5,3,1,1,0,1
3,2,3,4,5,4,1,3,1,1
3,2,3,4,5,5,1,3,0,1
3,2,3,5,1,1,1,2,0,1
3,2,3,5,1,1,1,4,1,1
3,2,3,5,1,1,1,5,2,2
3,2,3,5,1,1,2,3,1,1
3,2,3,5,1,2,1,1,0,3
3,2,3,5,1,2,1,2,1,7
3,2,3,5,1,2,1,3,3,9
3,2,3,5,1,2,1,4,19,20
3,2,3,5,1,2,1,5,9,9
3,2,3,5,1,2,2,1,0,4
3,2,3,5,1,2,2,2,2,4
3,2,3,5,1,2,2,3,5,9
3,2,3,5,1,2,2,4,5,5
3,2,3,5,1,2,2,5,0,1
3,2,3,5,1,3,1,2,0,2
3,2,3,5,1,3,1,3,0,3
3,2,3,5,1,3,1,4,0,1
3,2,3,5,1,3,2,2,0,1
3,2,3,5,1,4,1,3,1,2
3,2,3,5,1,4,1,4,0,1
3,2,3,5,3,2,1,1,0,1
3,2,3,5,3,2,1,2,1,1
3,2,3,5,3,2,2,2,0,2
3,2,3,5,3,2,2,4,1,1
3,2,3,5,3,3,2,6,0,1
3,2,3,5,4,1,1,2,1,1
3,2,3,5,4,1,2,3,0,1
3,2,3,5,5,2,1,2,0,2
3,2,3,5,5,2,1,3,0,3
3,2,3,5,5,2,2,3,0,2
3,2,3,5,5,3,1,3,0,1
3,2,3,5,5,3,2,4,0,1
3,2,3,6,1,1,2,5,1,1
3,2,3,6,1,2,1,2,0,1
3,2,3,6,1,2,1,4,6,6
3,2,3,6,1,2,1,5,2,2
3,2,3,6,1,2,2,1,0,1
3,2,3,6,1,2,2,2,0,2
3,2,3,6,1,2,2,3,1,1
3,2,3,6,1,2,2,4,2,3
3,2,3,6,1,2,2,5,2,2
3,2,3,6,1,3,2,6,0,2
3,2,3,6,2,2,2,1,0,1
3,2,3,6,3,2,2,2,0,1
3,2,3,6,3,2,2,5,1,1
3,2,3,6,4,2,2,3,1,1
3,2,3,6,5,2,1,2,0,3
3,2,3,6,5,2,1,3,0,2
3,2,3,6,5,2,1,4,2,3
3,2,3,6,5,2,1,5,1,1
3,2,3,6,5,2,2,1,0,2
3,2,3,6,5,2,2,4,1,1
3,2,3,6,5,2,2,6,0,1
3,2,3,6,5,3,2,2,1,1
3,2,3,6,5,3,2,3,0,1
3,2,3,6,5,3,2,4,0,1
3,2,3,6,5,5,1,2,0,1
3,2,3,6,5,5,1,3,0,1
3,2,4,1,1,1,1,3,1,1
3,2,4,1,1,2,1,4,1,1
3,2,4,1,1,2,1,5,2,2
3,2,4,1,1,2,1,6,1,1
3,2,4,1,1,2,2,2,0,1
3,2,4,1,1,2,2,3,0,1
3,2,4,1,1,2,2,6,1,1
3,2,4,1,1,3,2,2,0,1
3,2,4,1,2,1,2,6,1,1
3,2,4,1,2,2,2,2,0,2
3,2,4,1,2,2,2,3,1,3
3,2,4,1,2,2,2,5,1,1
3,2,4,1,2,3,2,2,1,2
3,2,4,1,2,4,2,6,0,1
3,2,4,1,3,1,2,1,0,1
3,2,4,1,3,2,1,2,0,1
3,2,4,1,3,2,1,3,1,2
3,2,4,1,3,2,1,4,1,1
3,2,4,1,3,2,1,5,1,1
3,2,4,1,3,2,2,1,0,1
3,2,4,1,3,2,2,2,0,1
3,2,4,1,3,2,2,3,2,5
3,2,4,1,3,2,2,4,0,1
3,2,4,1,3,2,2,6,0,1
3,2,4,1,3,3,1,3,0,2
3,2,4,1,3,3,2,1,0,1
3,2,4,1,3,3,2,2,0,2
3,2,4,1,3,3,2,3,0,1
3,2,4,1,3,3,2,5,0,1
3,2,4,1,3,4,1,2,1,1
3,2,4,1,3,4,2,2,0,1
3,2,4,1,3,4,2,3,0,1
3,2,4,1,4,3,2,5,0,1
3,2,4,1,5,1,1,3,1,1
3,2,4,1,5,1,1,4,1,1
3,2,4,1,5,1,2,1,0,2
3,2,4,1,5,2,1,2,0,3
3,2,4,1,5,2,1,3,1,1
3,2,4,1,5,2,1,6,1,1
3,2,4,1,5,2,2,1,0,1
3,2,4,1,5,2,2,3,0,2
3,2,4,1,5,2,2,4,1,1
3,2,4,1,5,3,1,2,0,3
3,2,4,1,5,3,1,3,0,2
3,2,4,1,5,3,1,4,0,1
3,2,4,1,5,3,2,2,0,2
3,2,4,1,5,3,2,3,0,1
